INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED,LOGD5.5,LOGD7.4,READY_BIO_DEG
AMPHETAMINE,Approved Name,DTXSID4022600,Amphetamine,CC(N)CC1=CC=CC=C1,2.0417379446695317E-11,8.31763771102671,2.6302679918953817,203,0.0000026915348039269138,0.1318256738556407,6.84,60.25595860743578,1.76,33,N/A,9.87,0.23988329190194904,0.13489628825916536,-2.61,-0.71,0
ACETAMINOPHEN,Approved Name,DTXSID2020006,Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,1.2882495516931322E-11,11.481536214968829,3.548133892335755,310,5.754399373371567E-9,0.2630267991895382,7.96,47.86300923226383,0.46,170,N/A,N/A,0.0000069183097091893625,0.0933254300796991,0.46,0.46,1
ASPIRIN,Approved Name,DTXSID5020108,Aspirin,CC(=O)OC1=C(C=CC=C1)C(O)=O,5.6234132519034904E-12,3.630780547701014,3.548133892335755,283,8.317637711026709E-9,0.11220184543019636,7.75,79.43282347242814,1.19,135,4.2,N/A,0.000025118864315095822,0.022908676527677734,-0.13,-2.01,1
ENALAPRIL,Approved Name,DTXSID5022982,Enalapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,2.344228815319918E-11,19.952623149688797,3.3884415613920256,323,1.3803842646028866E-11,0.1548816618912481,9.43,177.82794100389228,0.07,122,7.23,N/A,2.398832919019495E-10,0.0015135612484362087,0.06,-0.32,0
ETHINYL ESTRADIOL,Synonym,DTXSID5020576,17alpha-Ethinylestradiol,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,2.8183829312644493E-11,181.97008586099827,97.72372209558107,390,9.332543007969905E-8,0.6165950018614822,9.2,512861.3839913648,3.67,183,12.19,N/A,7.413102413009162E-10,0.000039810717055349695,3.67,3.67,0
ETHOSUXIMIDE,Approved Name,DTXSID7023019,Ethosuximide,CCC1(C)CC(=O)NC1=O,5.128613839913659E-12,3.3884415613920256,3.548133892335755,260,1.479108388168207E-7,0.1380384264602885,8.35,61.65950018614822,0.38,65,9.18,N/A,0.0006165950018614823,0.05623413251903491,0.38,0.37,0
IVERMECTIN,Approved Name,DTXSID7040235,Ivermectin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
METHOHEXITAL,Approved Name,DTXSID1023287,Methohexital,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,8.511380382023759E-11,4.168693834703354,3.3884415613920256,262,1.4125375446227554E-8,0.8128305161640993,11.36,56.23413251903491,2.23,100,8.82,N/A,0.000005011872336272725,0.0012882495516931337,2.23,2.21,0
NORETHINDRONE,Approved Name,DTXSID9023380,Norethindrone,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],7.762471166286927E-11,79.43282347242814,97.72372209558107,310,4.168693834703347E-9,2.6915348039269156,11.01,524807.4602497723,2.97,203,10.32,N/A,2.5703957827688646E-9,0.000025703957827688645,2.97,2.97,0
PHENOBARBITAL,Approved Name,DTXSID5021122,Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,1.0715193052376049E-11,2.344228815319922,3.548133892335755,255,3.5481338923357603E-9,0.13489628825916536,9.27,79.43282347242814,1.47,174,7.71,N/A,1.7378008287493762E-9,0.004786300923226385,1.47,1.3,0
THEOPHYLLINE,Approved Name,DTXSID5021336,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O,6.0255958607435685E-12,2.1877616239495525,4.265795188015927,327,2.7542287033381634E-9,0.08511380382023763,10.62,38.018939632056124,-0.02,273,N/A,3.19,0.000004570881896148752,0.04168693834703355,-0.02,-0.02,0
