Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Fu_median,N_fu,Fu_values,Fu_flag,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,Type,LogP_opera,LogP_chembl,LogP_diff,pKa_diff,LogD74_diff,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,LogD74_calc_exp,pKa_opera_relevant,LogD74_calc_opera,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver
AMPHETAMINE,CHEMBL405,135.21,26.02,1,1,1.58,CC(N)Cc1ccccc1,0.8,1,0.8,NA,NA,NA,NA,ChEMBL_Fu,0.8,NA,0,NA,NA,0,NA,NA,9.87,-0.71,BASE,1.76,1.58,0.17999999999999994,NA,NA,135.20999999999998,26.02,1,1,1.5763,135.21,26.02,2.842170943040401e-14,0,0,0,0.0037000000000000366,NA,9.87,-0.8914690939061831,9.718,1,BASE
ACETAMINOPHEN,CHEMBL112,151.16,49.33,2,2,1.35,CC(=O)Nc1ccc(O)cc1,1,3,"1, 1, 0.52",FLAG: contains 0 or 1,NA,NA,NA,ChEMBL_Fu,1,9.5,3,"9.63, 0, 9.5",0.30000000000000004,4,"0.51, 0.27, 0.33, 0.2",NA,NA,0.46,NEUTRAL,0.46,1.35,0.8900000000000001,NA,0.15999999999999998,151.165,49.33,2,2,1.3505999999999998,151.16,49.33,0.0049999999999954525,0,0,0,5.999999999997119e-4,1.35,NA,1.35,"5.891, 9.547, 10.991",3,"BASE, ACID, ACID"
ASPIRIN,CHEMBL25,180.16,63.60,1,3,1.31,CC(=O)Oc1ccccc1C(=O)O,0.68,1,0.68,NA,NA,NA,NA,ChEMBL_Fu,0.68,3.5,6,"3.5, 3.5, 3.5, 3.5, 3.5, 3.47",-2.57,2,"-2.57, -2.57",4.2,NA,-2.01,ACID,1.19,1.31,0.1200000000000001,0.7000000000000002,0.56,180.15899999999996,63.60000000000001,1,3,1.3101,180.16,63.6,0.0010000000000331966,7.105427357601002e-15,0,0,9.999999999998899e-5,-2.590054670994684,4.2,-1.8902739348814968,3.646,1,ACID
ENALAPRIL,CHEMBL578,376.45,95.94,2,5,1.60,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,NA,0,NA,NA,50,0.5,1,ChEMBL_PPB,0.5,2.96,4,"5.49, 3, 2.92, 2.92",-1.8,1,-1.8,7.23,NA,-0.32,ACID,0.07,1.6,1.53,4.2700000000000005,1.48,376.45300000000026,95.94000000000001,2,5,1.6046,376.45,95.94,0.00300000000027012,1.4210854715202004e-14,0,0,0.0045999999999999375,-2.8400157679933202,7.23,1.2057044851909025,"5.152, 7.108, 7.456",3,"ACID, BASE, BASE"
ETHINYL ESTRADIOL,CHEMBL691,296.41,40.46,2,2,3.61,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0.014,1,0.014,NA,NA,NA,NA,ChEMBL_Fu,0.014,NA,0,NA,NA,0,NA,12.19,NA,3.67,ACID,3.67,3.61,0.06000000000000005,NA,NA,296.4100000000001,40.46,2,2,3.6126000000000023,296.41,40.46,5.684341886080802e-14,0,0,0,0.002600000000002378,NA,12.19,3.609992956625355,"9.867, 10.367",2,"ACID, ACID"
ETHOSUXIMIDE,CHEMBL696,141.17,46.17,1,2,0.45,CCC1(C)CC(=O)NC1=O,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,9.18,NA,0.37,ACID,0.38,0.45,0.07,NA,NA,141.17,46.17,1,2,0.4491999999999999,141.17,46.17,0,0,0,0,8.000000000001339e-4,NA,9.18,0.442851659380363,"6.444, 9.415",2,"BASE, ACID"
IVERMECTIN,CHEMBL6067487,875.1,170,3,14,4.1,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NEUTRAL,NA,4.1,NA,NA,NA,875.1060000000001,170.06,3,14,5.601400000000006,875.1,170,0.0060000000000854925,0.060000000000002274,0,0,1.5014000000000065,4.1,NA,4.1,"8.55, 8.702",2,"ACID, ACID"
METHOHEXITAL,CHEMBL7413,262.31,66.48,1,3,1.31,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,0.27,1,0.27,NA,NA,NA,NA,ChEMBL_Fu,0.27,4.74,1,4.74,NA,0,NA,8.82,NA,2.21,ACID,2.23,1.31,0.9199999999999999,4.08,NA,262.30899999999997,66.48,1,3,1.3066,262.31,66.48,0.0010000000000331966,0,0,0,0.0034000000000000696,-1.3509490949823522,8.82,1.2937947223038897,7.333,1,ACID
NORETHINDRONE,CHEMBL1162,298.43,37.30,1,2,3.49,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,10.32,NA,2.97,ACID,2.97,3.49,0.52,NA,NA,298.42600000000004,37.3,1,2,3.4925000000000024,298.43,37.3,0.003999999999962256,0,0,0,0.002500000000002167,NA,10.32,3.48947817681217,8.425,1,ACID
PHENOBARBITAL,CHEMBL40,232.24,75.27,2,3,0.70,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.49,1,0.49,NA,NA,NA,NA,ChEMBL_Fu,0.49,7.49,7,"7.5, 7.5, 7.26, 7.49, 7.4, 7.5, 7.2",NA,0,NA,7.71,NA,1.3,ACID,1.47,0.7,0.77,0.21999999999999975,NA,232.23899999999995,75.27000000000001,2,3,0.7004,232.24,75.27,0.0010000000000616183,1.4210854715202004e-14,0,0,4.0000000000006697e-4,0.4416427967513477,7.71,0.5268782045125884,"7.575, 7.996",2,"ACID, ACID"
