Compound,CAS,InChIKey,SMILES,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Source,Fu_final,source_PPB,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,Type
PCB-153,35065-27-1,MVWHGTYKUMDIHL-UHFFFAOYSA-N,ClC=1C=C(Cl)C(=CC1Cl)C=2C=C(Cl)C(Cl)=CC2Cl,CHEMBL14377,360.88,0.00,0,0,7.27,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,6.56,NEUTRAL
PCB-118,31508-00-6,IUTPYMGCWINGEY-UHFFFAOYSA-N,ClC=1C=CC(=CC1Cl)C2=CC(Cl)=C(Cl)C=C2Cl,CHEMBL137264,326.44,0.00,0,0,6.62,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,7.11,NEUTRAL
PCB-138,35065-28-2,RPUMZMSNLZHIGZ-UHFFFAOYSA-N,ClC=1C=CC(=C(Cl)C1Cl)C2=CC(Cl)=C(Cl)C=C2Cl,NA,360.9,0,0,0,7.2,PubChem,NA,NA,NA,0,NA,NA,0,NA,NA,NA,7.34,NEUTRAL
PCB-180,35065-29-3,WBHQEUPUMONIKF-UHFFFAOYSA-N,ClC=1C=C(Cl)C(=CC1Cl)C=2C=C(Cl)C(Cl)=C(Cl)C2Cl,CHEMBL375479,395.33,0.00,0,0,7.93,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,7.72,NEUTRAL
DDE,72-55-9,UCNVFOCBFJOQAL-UHFFFAOYSA-N,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C2=CC=C(Cl)C=C2,CHEMBL363207,318.03,0.00,0,0,6.19,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,6.73,NEUTRAL
HCB,118-74-1,CKAPSXZOOQJIBF-UHFFFAOYSA-N,ClC=1C(Cl)=C(Cl)C(Cl)=C(Cl)C1Cl,CHEMBL228514,284.78,0.00,0,0,5.61,ChEMBL,NA,NA,NA,0,NA,5.73,1,5.73,NA,NA,5.73,NEUTRAL
Mirex,2385-85-5,GVYLCNUFSHDAAW-UHFFFAOYSA-N,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,CHEMBL442231,545.55,0.00,0,0,6.22,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,6.89,NEUTRAL
PCDD 48,1746-01-6,HGUFODBRKLSHSI-UHFFFAOYSA-N,ClC=1C=C2OC3=CC(Cl)=C(Cl)C=C3OC2=CC1Cl,CHEMBL30327,321.97,18.46,0,2,6.20,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,6.61,NEUTRAL
PCDD 54,40321-76-4,FSPZPQQWDODWAU-UHFFFAOYSA-N,ClC=1C=C2OC3=CC(Cl)=C(Cl)C(Cl)=C3OC2=CC1Cl,CHEMBL137220,356.42,18.46,0,2,6.85,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,6.64,NEUTRAL
PCDD 66,39227-28-6,WCYYQNSQJHPVMG-UHFFFAOYSA-N,ClC=1C=C2OC=3C(Cl)=C(Cl)C(Cl)=C(Cl)C3OC2=CC1Cl,CHEMBL136116,390.86,18.46,0,2,7.50,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,7.8,NEUTRAL
PCDD 67,57653-85-7,YCLUIPQDHHPDJJ-UHFFFAOYSA-N,ClC=1C=C2OC3=C(Cl)C(Cl)=C(Cl)C=C3OC2=C(Cl)C1Cl,NA,390.9,18.5,0,2,7.4,PubChem,NA,NA,NA,0,NA,NA,0,NA,NA,NA,7.47,NEUTRAL
PCDD 73,35822-46-9,WCLNVRQZUKYVAI-UHFFFAOYSA-N,ClC=1C=C2OC=3C(Cl)=C(Cl)C(Cl)=C(Cl)C3OC2=C(Cl)C1C,NA,425.3,18.5,0,2,7.5,PubChem CID 37270,NA,NA,NA,0,NA,NA,0,NA,NA,NA,8.2,NEUTRAL
PCDD 75,3268-87-9,FOIBFBMSLDGNHL-UHFFFAOYSA-N,ClC=1C(Cl)=C(Cl)C=2OC=3C(Cl)=C(Cl)C(Cl)=C(Cl)C3OC2C1Cl,CHEMBL136461,459.75,18.46,0,2,8.81,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,8.71,NEUTRAL
PCDF 83,51207-31-9,KSMVNVHUTQZITP-UHFFFAOYSA-N,ClC=1C=C2OC=3C=C(Cl)C(Cl)=CC3C2=CC1Cl,CHEMBL136710,305.97,13.14,0,1,6.20,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,10.87,NA,6.53,ACID
PCDF 94,57117-41-6,SBMIVUVRFPGOEB-UHFFFAOYSA-N,ClC1=CC=2OC3=CC(Cl)=C(Cl)C(Cl)=C3C2C=C1Cl,CHEMBL137304,340.42,13.14,0,1,6.85,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,10.37,NA,6.78,ACID
PCDF 114,57117-31-4,OGBQILNBLMPPDP-UHFFFAOYSA-N,ClC=1C=C2OC=3C(Cl)=C(Cl)C(Cl)=CC3C2=CC1Cl,CHEMBL335558,340.42,13.14,0,1,6.85,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,10.52,NA,6.91,ACID
PCDF 118,70648-26-9,LVYBAQIVPKCOEE-UHFFFAOYSA-N,ClC1=CC=2OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3C2C=C1Cl,CHEMBL342717,374.86,13.14,0,1,7.51,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,9.74,NA,7.45,ACID
PCDF 121,57117-44-9,JEYJJJXOFWNEHN-UHFFFAOYSA-N,ClC=1C=C2OC=3C(Cl)=C(Cl)C(Cl)=CC3C2=C(Cl)C1Cl,CHEMBL343494,374.86,13.14,0,1,7.51,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,NA,NA,6.15,NEUTRAL
PCDF 130,60851-34-5,XTAHLACQOVXINQ-UHFFFAOYSA-N,ClC=1C=C2C(OC=3C(Cl)=C(Cl)C(Cl)=CC32)=C(Cl)C1Cl,CHEMBL343049,374.86,13.14,0,1,7.51,ChEMBL,NA,NA,NA,0,NA,NA,0,NA,9.42,NA,7.44,ACID
