Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final
AMPHETAMINE,CHEMBL405,135.21,26.02,1,1,1.58,0.8,1,0.8,NA,CC(N)Cc1ccccc1,NA,NA,NA,ChEMBL_Fu,0.8
ACETAMINOPHEN,CHEMBL112,151.16,49.33,2,2,1.35,1,3,"1, 1, 0.52",FLAG: contains 0 or 1,CC(=O)Nc1ccc(O)cc1,NA,NA,NA,ChEMBL_Fu,1
ASPIRIN,CHEMBL25,180.16,63.60,1,3,1.31,0.68,1,0.68,NA,CC(=O)Oc1ccccc1C(=O)O,NA,NA,NA,ChEMBL_Fu,0.68
ENALAPRIL,CHEMBL578,376.45,95.94,2,5,1.60,NA,0,NA,NA,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,50,0.5,1,ChEMBL_PPB,0.5
ETHINYL ESTRADIOL,CHEMBL691,296.41,40.46,2,2,3.61,0.014,1,0.014,NA,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,NA,NA,NA,ChEMBL_Fu,0.014
ETHOSUXIMIDE,CHEMBL696,141.17,46.17,1,2,0.45,NA,0,NA,NA,CCC1(C)CC(=O)NC1=O,NA,NA,0,NA,NA
IVERMECTIN,CHEMBL6067487,875.1,170,3,14,4.1,NA,0,NA,NA,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,NA,NA,0,NA,NA
METHOHEXITAL,CHEMBL7413,262.31,66.48,1,3,1.31,0.27,1,0.27,NA,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,NA,NA,NA,ChEMBL_Fu,0.27
NORETHINDRONE,CHEMBL1162,298.43,37.30,1,2,3.49,NA,0,NA,NA,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,NA,NA,0,NA,NA
PHENOBARBITAL,CHEMBL40,232.24,75.27,2,3,0.70,0.49,1,0.49,NA,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,NA,NA,NA,ChEMBL_Fu,0.49
THEOPHYLLINE,CHEMBL1355736,198.18,72.68,1,5,-1.04,0.61,3,"0.46, 0.61, 0.989",NA,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,NA,NA,NA,ChEMBL_Fu,0.61
THIOPENTAL,CHEMBL441,242.34,58.20,2,3,1.35,0.14,1,0.14,NA,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,NA,NA,NA,ChEMBL_Fu,0.14
TINIDAZOLE,CHEMBL1220,247.28,95.10,0,6,0.53,0.8,1,0.8,NA,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,NA,NA,NA,ChEMBL_Fu,0.8
VALPROIC ACID,CHEMBL109,144.21,37.30,1,1,2.29,0.068,2,"0.084, 0.052",NA,CCCC(CCC)C(=O)O,NA,NA,NA,ChEMBL_Fu,0.068
ZONISAMIDE,CHEMBL750,212.23,86.19,1,4,0.62,0.308,1,0.308,NA,NS(=O)(=O)Cc1noc2ccccc12,NA,NA,NA,ChEMBL_Fu,0.308
ALPRAZOLAM,CHEMBL661,308.77,43.07,0,4,3.58,0.29,3,"0.29, 0.29, 0.29",NA,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,NA,NA,NA,ChEMBL_Fu,0.29
AMITRIPTYLINE,CHEMBL629,277.41,3.24,0,1,4.17,0.065,2,"0.06, 0.07",NA,CN(C)CCC=C1c2ccccc2CCc2ccccc21,NA,NA,NA,ChEMBL_Fu,0.065
AMLODIPINE,CHEMBL1491,408.88,99.88,2,7,2.27,0.005,1,0.005,NA,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,NA,NA,NA,ChEMBL_Fu,0.005
AMOXAPINE,CHEMBL1113,313.79,36.86,1,4,3.43,NA,0,NA,NA,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,89.05,0.10950000000000004,1,ChEMBL_PPB,0.10950000000000004
BUPIVACAINE,CHEMBL1098,288.44,32.34,1,2,3.90,0.14400000000000002,2,"0.056, 0.232",NA,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,NA,NA,NA,ChEMBL_Fu,0.14400000000000002
BUPRENORPHINE,CHEMBL511142,467.65,62.16,2,5,4.41,0.04,1,0.04,NA,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,NA,NA,NA,ChEMBL_Fu,0.04
BUPROPION,CHEMBL894,239.75,29.10,1,2,3.30,0.195,1,0.195,NA,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,NA,NA,NA,ChEMBL_Fu,0.195
CAFFEINE,CHEMBL113,194.19,61.82,0,6,-1.03,0.64,4,"0.64, 0.64, 0.64, 0.989",NA,Cn1c(=O)c2c(ncn2C)n(C)c1=O,NA,NA,NA,ChEMBL_Fu,0.64
CHLORAMPHENICOL,CHEMBL130,323.13,112.70,3,5,0.91,0.47,3,"0.47, 0.47, 0.34",NA,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,NA,NA,NA,ChEMBL_Fu,0.47
CHLORPROMAZINE,CHEMBL71,318.87,6.48,0,3,4.89,0.03,6,"0.03, 0.03, 0.056, 0.003, 0.0013, 0.302",NA,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,NA,NA,NA,ChEMBL_Fu,0.03
CLEMASTINE,CHEMBL1626,343.90,12.47,0,2,5.10,NA,0,NA,NA,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,NA,NA,0,NA,NA
CLINDAMYCIN,CHEMBL1753,424.99,102.26,4,7,0.39,0.08,2,"0.06, 0.1",NA,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,NA,NA,NA,ChEMBL_Fu,0.08
