Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,SMILES,Source,Fu_median,N_fu,Fu_values,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values,pKa_acid_pred,pKa_base_pred,LogD74_pred,LogP_opera,Type,MW_rdkit,PSA_rdkit,HBD_rdkit,HBA_rdkit,LogP_rdkit,MW_chembl,PSA_chembl,LogP_chembl,MW_diff_rdkit,PSA_diff_rdkit,HBD_diff_rdkit,HBA_diff_rdkit,LogP_diff_rdkit,pKa_pkasolver,N_pka_pkasolver,Type_pkasolver,pKa_acid_v1,pKa_base_v1,pKa_acid_v2,pKa_base_v2,FG_acid_v2,FG_base_v2,f_neutral_v2,fraction_ionized_v2,LogD74_calc_pkasolver_v2
Amphetamine,CHEMBL405,135.21,26.02,1,1,1.58,CC(N)Cc1ccccc1,ChEMBL,0.8,1,0.8,NA,NA,NA,ChEMBL_Fu,0.8,NA,0,NA,NA,0,NA,NA,9.87,-0.71,1.76,BASE,135.20999999999998,26.02,1,1,1.5763,135.21,26.02,1.58,2.842170943040401e-14,0,0,0,0.0037000000000000366,9.718,1,BASE,NA,9.71785472869873,NA,9.71785472869873,NA,aliphatic_amine,0.004786976790210965,0.995213023209789,-0.7399386782017237
Acetaminophen,CHEMBL112,151.16,49.33,2,2,1.35,CC(=O)Nc1ccc(O)cc1,ChEMBL,1,3,"1, 1, 0.52",NA,NA,NA,ChEMBL_Fu,1,9.5,3,"9.63, 0, 9.5",0.30000000000000004,4,"0.51, 0.27, 0.33, 0.2",NA,NA,0.46,0.46,NEUTRAL,151.165,49.33,2,2,1.3505999999999998,151.16,49.33,1.35,0.0049999999999954525,0,0,0,5.999999999997119e-4,"5.891, 9.547, 10.991",3,"BASE, ACID, ACID",9.54687282562256,5.890574645996094,9.54687282562256,NA,phenol,NA,0.9929198676662243,0.0070801323337756905,1.3469142007263688
Aspirin,CHEMBL25,180.16,63.60,1,3,1.31,CC(=O)Oc1ccccc1C(=O)O,ChEMBL,0.68,1,0.68,NA,NA,NA,ChEMBL_Fu,0.68,3.5,6,"3.5, 3.5, 3.5, 3.5, 3.5, 3.47",-2.57,2,"-2.57, -2.57",4.2,NA,-2.01,1.19,ACID,180.15899999999996,63.60000000000001,1,3,1.3101,180.16,63.6,1.31,0.0010000000000331966,7.105427357601002e-15,0,0,9.999999999998899e-5,3.646,1,ACID,3.6455733299255373,NA,3.6455733299255373,NA,carboxylate,NA,1.7599360613796983e-4,0.999824006393862,-2.4445031098531125
Enalapril,CHEMBL578,376.45,95.94,2,5,1.60,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,ChEMBL,NA,0,NA,50,0.5,1,ChEMBL_PPB,0.5,2.96,4,"5.49, 3, 2.92, 2.92",-1.8,1,-1.8,7.23,NA,-0.32,0.07,ACID,376.45300000000026,95.94000000000001,2,5,1.6046,376.45,95.94,1.6,0.00300000000027012,1.4210854715202004e-14,0,0,0.0045999999999999375,"5.152, 7.108, 7.456",3,"ACID, BASE, BASE",5.152421379089356,7.456208782196045,5.152421379089356,7.10762300491333,carboxylate,aliphatic_amine,0.005606974805185788,0.9943930251948142,-0.6512713953895326
Ethinyl estradiol,CHEMBL691,296.41,40.46,2,2,3.61,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,ChEMBL,0.014,1,0.014,NA,NA,NA,ChEMBL_Fu,0.014,NA,0,NA,NA,0,NA,12.19,NA,3.67,3.67,ACID,296.4100000000001,40.46,2,2,3.6126000000000023,296.41,40.46,3.61,5.684341886080802e-14,0,0,0,0.002600000000002378,"9.867, 10.367",2,"ACID, ACID",9.867010192871094,NA,9.867010192871094,NA,phenol,NA,0.9965997520932114,0.0034002479067886116,3.608520774803166
Ethosuximide,CHEMBL696,141.17,46.17,1,2,0.45,CCC1(C)CC(=O)NC1=O,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,9.18,NA,0.37,0.38,ACID,141.17,46.17,1,2,0.4491999999999999,141.17,46.17,0.45,0,0,0,0,8.000000000001339e-4,"6.444, 9.415",2,"ACID, ACID",6.44419900894165,NA,6.44419900894165,NA,imide,NA,0.09967749498557205,0.9003225050144279,-0.5514028848864838
Ivermectin,CHEMBL6067487,875.1,170,3,14,4.1,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NEUTRAL,875.1060000000001,170.06,3,14,5.601400000000006,875.1,170,4.1,0.0060000000000854925,0.060000000000002274,0,0,1.5014000000000065,"8.55, 8.702",2,"ACID, ACID",8.55029296875,NA,8.55029296875,NA,alcohol,NA,0.9339275773996842,0.06607242260031576,4.0703131996185595
Methohexital,CHEMBL7413,262.31,66.48,1,3,1.31,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,ChEMBL,0.27,1,0.27,NA,NA,NA,ChEMBL_Fu,0.27,4.74,1,4.74,NA,0,NA,8.82,NA,2.21,2.23,ACID,262.30899999999997,66.48,1,3,1.3066,262.31,66.48,1.31,0.0010000000000331966,0,0,0,0.0034000000000000696,7.333,1,ACID,7.3327294921875,NA,7.3327294921875,NA,acidic_amide,NA,0.4613532223385834,0.5386467776614166,0.9740335583036244
Norethindrone,CHEMBL1162,298.43,37.30,1,2,3.49,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,ChEMBL,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,10.32,NA,2.97,2.97,ACID,298.42600000000004,37.3,1,2,3.4925000000000024,298.43,37.3,3.49,0.003999999999962256,0,0,0,0.002500000000002167,8.425,1,ACID,8.424506530761718,NA,8.424506530761718,NA,alcohol,NA,0.9136480042885222,0.08635199571147778,3.450778909914374
Phenobarbital,CHEMBL40,232.24,75.27,2,3,0.70,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,ChEMBL,0.49,1,0.49,NA,NA,NA,ChEMBL_Fu,0.49,7.49,7,"7.5, 7.5, 7.26, 7.49, 7.4, 7.5, 7.2",NA,0,NA,7.71,NA,1.3,1.47,ACID,232.23899999999995,75.27000000000001,2,3,0.7004,232.24,75.27,0.7,0.0010000000000616183,1.4210854715202004e-14,0,0,4.0000000000006697e-4,"7.575, 7.996",2,"ACID, ACID",7.574669151306153,NA,7.574669151306153,NA,acidic_amide,NA,0.5992138574930653,0.4007861425069347,0.4775818483549306
