Drug,SMILES
Amphetamine,CC(N)Cc1ccccc1
Acetaminophen,CC(=O)Nc1ccc(O)cc1
Aspirin,CC(=O)Oc1ccccc1C(=O)O
Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
Ethinyl estradiol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
Ethosuximide,CCC1(C)CC(=O)NC1=O
Ivermectin,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C
Methohexital,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
Norethindrone,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
Theophylline,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O
Thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
Valproic Acid,CCCC(CCC)C(=O)O
Zonisamide,NS(=O)(=O)Cc1noc2ccccc12
Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21
Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
Bupivacaine,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
Buprenorphine,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
Bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Chloramphenicol,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
Chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
Clemastine,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
Clindamycin,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1
Clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
Clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
Cotinine,CN1C(=O)CC[C@H]1c1cccnc1
Desipramine,CNCCCN1c2ccccc2CCc2ccccc21
Diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
Dothiepin,CN(C)CC/C=C1\c2ccccc2CSc2ccccc21
Doxepin,CN(C)CCC=C1c2ccccc2COc2ccccc21
Duloxetine,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
Escitalopram,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
Hydralazine,NNc1nncc2ccccc12
Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
Hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
Imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21
Isoniazid,NNC(=O)c1ccncc1
Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
Methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1
Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO
Mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1
Minoxidil,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
Naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
Nicotine,CN1CCC[C@H]1c1cccnc1
Nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21
Paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
Pefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21
Prednisolone,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12
Quinine,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
Risperidone,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
Sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
Triprolidine,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
Verapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
Zidovudine,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
Abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1
Apixaban,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
Budesonide,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
Doxazosin,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
Ethanol,CCO
Lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1
Pantoprazole,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC
Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
Propylthiouracil,CCCc1cc(=O)[nH]c(=S)[nH]1
Quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1
Reboxetine,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C
