Drug,SMILES,Type,pKa_exp,pkasolver_pKa_acid,opera_pKa_acid,molgpka_pKa_acid,unipka_pKa_acid,pkasolver_pKa_base,opera_pKa_base,molgpka_pKa_base,unipka_pKa_base,pkasolver_FG_acid,pkasolver_FG_base,molgpka_acid_raw,molgpka_base_raw,molgpka_acid_N,molgpka_base_N
Amphetamine,CC(N)Cc1ccccc1,BASE,NA,NA,NA,NA,NA,9.71785472869873,9.87,10.27,9.752597226,NA,aliphatic_amine,NA,10.27,0,1
Acetaminophen,CC(=O)Nc1ccc(O)cc1,NEUTRAL,9.5,9.54687282562256,NA,10.1,9.50707866,NA,NA,NA,NA,phenol,NA,"10.1, 13.84",NA,2,0
Aspirin,CC(=O)Oc1ccccc1C(=O)O,ACID,3.5,3.6455733299255373,4.2,3.39,3.788719355,NA,NA,NA,NA,carboxylate,NA,3.39,NA,1,0
Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,ACID,2.96,5.152421379089356,7.23,3.31,6.251129182,7.10762300491333,NA,5.38,NA,carboxylate,aliphatic_amine,3.31,5.38,1,1
Ethinyl estradiol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,ACID,NA,9.867010192871094,12.19,10.08,10.61608137,NA,NA,NA,3.053782622,phenol,NA,"12.43, 10.08",NA,2,0
Ethosuximide,CCC1(C)CC(=O)NC1=O,ACID,NA,6.44419900894165,9.18,10.99,9.21523023,NA,NA,NA,NA,imide,NA,10.99,NA,1,0
Ivermectin,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,NEUTRAL,NA,8.55029296875,NA,NA,9.517235808,NA,NA,NA,3.619248974,alcohol,NA,"11.65, 13.25, 11.98",NA,3,0
Methohexital,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,ACID,4.74,7.3327294921875,8.82,7.72,7.840355704,NA,NA,NA,NA,acidic_amide,NA,7.72,NA,1,0
Norethindrone,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,ACID,NA,8.424506530761718,10.32,NA,NA,NA,NA,NA,3.143837257,alcohol,NA,13.05,NA,1,0
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,ACID,7.49,7.574669151306153,7.71,7.37,7.010171163,NA,NA,NA,NA,acidic_amide,NA,"7.37, 7.37",NA,2,0
