Drug,pKa_pkasolver,N_pka_pkasolver
AMPHETAMINE,9.718,1
ACETAMINOPHEN,"5.891, 9.547, 10.991",3
ASPIRIN,3.646,1
ENALAPRIL,"5.152, 7.108, 7.456",3
ETHINYL ESTRADIOL,"9.867, 10.367",2
ETHOSUXIMIDE,"6.444, 9.415",2
IVERMECTIN,"8.55, 8.702",2
METHOHEXITAL,7.333,1
NORETHINDRONE,8.425,1
PHENOBARBITAL,"7.575, 7.996",2
THEOPHYLLINE,"4.044, 5.608, 8.83",3
THIOPENTAL,"7.691, 8.148",2
TINIDAZOLE,3.467,1
VALPROIC ACID,4.837,1
ZONISAMIDE,"2.56, 6.098, 8.089",3
ALPRAZOLAM,"3.366, 4.153",2
AMITRIPTYLINE,9.494,1
AMLODIPINE,"5.231, 6.789",2
AMOXAPINE,"7.592, 9.886",2
BUPIVACAINE,"5.629, 8.016, 10.075",3
BUPRENORPHINE,"8.643, 9.459, 10.018",3
BUPROPION,8.376,1
CAFFEINE,3.649,1
CHLORAMPHENICOL,"5.475, 8.027, 8.712, 9.126",4
CHLORPROMAZINE,"4.667, 9.257",2
CLEMASTINE,9.146,1
CLINDAMYCIN,"5.377, 7.217, 8.043, 8.149, 8.231, 8.704",6
CLOMIPRAMINE,"5.462, 8.767",2
CLONAZEPAM,"5.923, 9.462",2
CODEINE,"8.01, 8.785",2
COLCHICINE,"6.212, 9.577",2
COTININE,"3.112, 4.966",2
DESIPRAMINE,"5.907, 9.533",2
DIAZEPAM,3.351,1
DOTHIEPIN,9.305,1
DOXEPIN,8.953,1
DULOXETINE,9.844,1
ESCITALOPRAM,9.606,1
FLUOXETINE,9.746,1
FLUVOXAMINE,9.595,1
HYDRALAZINE,"2.728, 3.532, 5.767, 8.65",4
HYDROMORPHONE,"7.934, 8.622",2
HYDROXYCHLOROQUINE,"5.21, 5.784, 8.21, 8.968",4
IMIPRAMINE,"5.813, 9.018",2
ISONIAZID,"3.853, 8.519",2
LEVODOPA,"5.557, 9.214",2
MAPROTILINE,10.529,1
METHADONE,8.886,1
METHYLPHENIDATE,9.279,1
METOPROLOL,9.601,1
METRONIDAZOLE,"4.049, 7.258",2
MIANSERIN,"6.586, 7.47",2
