Drug,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
AMPHETAMINE,5.624427437641724,5.624427437641724,0.26611111111111074,0.26611111111111074,0.6542162175383444,13,135.20999999999998,122.10599999999997,135.104799416,54,0,0.0050862390717969705,-0.32765583199596715,0.32765583199596715,0.0050862390717969705,1.3,1.9,2.4,14.592881775995139,10.090862491237761,1.9369749721827212,-2.0246159489684556,1.998310711111909,-2.1696568856277554,5.148524552240581,0.7380001730149905,1.8810140578490522,2.5872871851548136,179.17957141667623,7.397341225498538,6.248558665513929,6.248558665513929,4.787693700234704,3.583168886103056,3.583168886103056,2.6670065890781336,2.6670065890781336,1.4005021979026944,1.4005021979026944,0.9858783585471155,0.9858783585471155,-0.8200000000000001,195.6254620163014,7.288932461873639,3.3737941826863076,2.1939048454146013,61.866120159699506,5.733667477162185,0,0,0,0,0,0,0,0,0,30.33183534230805,18.90801031431363,6.041840829147961,0,0,0,0,0,5.733667477162185,19.386399651764595,0,35.89528683400505,0,0,5.733667477162185,0,0,0,6.041840829147961,6.4208216229260096,0,12.487188691387619,30.33183534230805,0,0,0,26.02,0,0,0,6.041840829147961,0,6.4208216229260096,5.563451491696996,0,25.122838405075452,12.13273413692322,5.733667477162185,0,0,0,0,6.941557067271353,0,10.564554043839758,0.9730555555555556,2.0208333333333335,0,0.3333333333333333,10,2,1,0,0,0,0,1,0,1,1,0,1,1,1,0,2,0,0,0,0,1,2.459135793786267,1,1.5763,43.79540000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETAMINOPHEN,10.524468537414966,10.524468537414966,0.11510204081632636,-0.11510204081632636,0.5950261967780848,9.181818181818182,151.165,142.093,151.063328528,58,0,0.22074743631242583,-0.5079643157925783,0.5079643157925783,0.22074743631242583,1.3636363636363635,1.9090909090909092,2.3636363636363638,16.25468871437964,10.28019085996475,1.928036059035984,-1.9945540738765863,2.1252475791601784,-2.044011312610289,5.880954784597921,-0.11373578338265977,1.9291266251851134,2.7362980721056545,253.2994975838911,8.267584713501616,6.164862962722325,6.164862962722325,5.1815405503520555,3.2490981480278296,3.2490981480278296,2.228060242189872,2.228060242189872,1.1876733148984595,1.1876733148984595,0.7480265991539318,0.7480265991539318,-1.5099999999999998,285.51074052739676,7.595374077976819,3.0531381005525,2.292303972882069,64.66690538413799,10.423315998847038,5.749511833283905,0,5.907179729351506,0,0,4.794537184071822,0,0,0,0,24.26546827384644,12.611123474374185,0,9.901064578912528,11.594566004035068,0,0,0,6.923737199690624,5.316788604006331,24.26546827384644,0,5.749511833283905,5.316788604006331,5.687386274683562,5.749511833283905,0,11.013707124192212,4.794537184071822,0,6.923737199690624,24.26546827384644,0,0,0,49.33,0,4.794537184071822,0,11.65669156263541,5.687386274683562,0,19.056471336613843,12.13273413692322,0,5.316788604006331,5.106527394840706,0,0,10.524468537414966,11.460032596371882,0.6900925925925929,0.07851095993953194,6.309537037037037,0,1.437358276643991,0,0.125,11,2,3,0,0,0,1,1,0,1,0,0,2,2,3,0,1,0,0,0,0,0,2.1081569077654403,1,1.3505999999999998,42.41050000000002,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPIRIN,10.611948223733938,10.611948223733938,0.01601851851851821,-1.1140277777777776,0.5501217966938848,9.307692307692308,180.15899999999996,172.09499999999997,180.042258736,68,0,0.33900378687731025,-0.4775395271554559,0.4775395271554559,0.33900378687731025,1.3076923076923077,1.9230769230769231,2.4615384615384617,16.536111221254338,10.182282381035359,2.104306980957854,-2.031132091947014,2.1698345568128015,-2.063000061964293,5.913065796110133,-0.1314143424403053,2.0325369160995868,3.0435273546341013,343.22286772671646,9.844934982691242,6.9813595436500515,6.9813595436500515,6.109060905280622,3.6174536478673316,3.6174536478673316,2.3949556783206725,2.3949556783206725,1.3711546649445037,1.3711546649445037,0.8871712192374142,0.8871712192374142,-1.8399999999999999,729.6807528797516,9.249605734767023,3.7092512583454584,2.297415032519928,74.75705264447721,9.843390348640755,11.3129633249809,0,0,0,11.938610575903697,4.794537184071822,4.794537184071822,0,0,12.13273413692322,12.13273413692322,6.923737199690624,0,19.432464716784395,11.938610575903697,0,0,0,6.923737199690624,0,29.828919765543436,0,5.749511833283905,4.736862953800049,0,5.749511833283905,0,17.045137970744403,4.794537184071822,0,17.28172587545944,24.26546827384644,0,0,0,63.60000000000001,11.938610575903697,9.589074368143644,0,11.3129633249809,0,0,19.056471336613843,12.13273413692322,0,4.736862953800049,5.106527394840706,4.686898148148147,0,21.184767573696142,8.687243008314436,-0.01601851851851821,-1.575879629629629,5.978792517006803,0,1.2208635676492818,0,0.1111111111111111,13,1,4,0,0,0,0,1,0,1,0,0,3,1,4,0,2,0,0,0,0,0,2.639162439298765,1,1.3101,44.71030000000002,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENALAPRIL,12.698340690844748,12.698340690844748,0.2617966144472277,-0.9869719369512284,0.6358354158694681,18.74074074074074,376.45300000000026,348.2290000000001,376.19982199599997,148,0,0.32591549414003096,-0.479712131669052,0.479712131669052,0.32591549414003096,1.2962962962962963,2,2.6296296296296298,16.533931944625454,10.041588180944672,2.3646225753200794,-2.2742775260936234,2.1857737856208312,-2.5290734279907907,5.876437267606002,-0.15003572487714026,3.149920450531538,2.0070366246242646,649.031972845491,19.81119030894213,15.888863193491664,15.888863193491664,12.934759407976113,9.435378264180693,9.435378264180693,6.745158299357761,6.745158299357761,4.7781754477150775,4.7781754477150775,3.376785148056581,3.376785148056581,-2.41,1167133.7246945498,20.89651383122284,10.061420006935409,5.787080019605405,159.23680270316586,14.743300079491233,12.083681658295921,0,5.907179729351506,0,11.938610575903697,14.905862972149976,4.794537184071822,0,0,30.33183534230805,45.09421238278229,6.544756405912575,12.648722793660879,24.227001900856216,17.845790305255203,0,10.216698334856808,0,57.65628337852917,13.151638370425493,35.89528683400505,0,0,5.316788604006331,0,0,0,59.129388288815754,25.54129612894152,0,38.673390759856275,30.33183534230805,0,0,0,95.94000000000001,30.06413306334758,19.490138947056174,0,12.514061693864424,32.22804289761662,5.563451491696996,4.899909730850477,13.847474399381248,30.33183534230805,5.316788604006331,4.736862953800049,5.137459346392879,0,37.72493286830557,12.325549757249274,1.0954279680957173,-1.6830856200788,7.690491483656686,2.2880621800340273,4.087828683011313,0,0.55,27,2,7,0,1,1,1,1,0,1,3,0,5,2,7,1,9,0,1,1,0,0,7.786985271728444,2,1.6046,100.15250000000007,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHINYL ESTRADIOL,10.9072088372386,10.9072088372386,0.12763963687326751,-0.9187799456202232,0.7180018360911579,42.86363636363637,296.4100000000001,272.21799999999996,296.177630008,116,0,0.1303358784852834,-0.5079560321952997,0.5079560321952997,0.1303358784852834,1.2272727272727273,2.0454545454545454,2.8181818181818183,16.286057871300546,9.531586134083424,2.6051941799842484,-2.5162824974711926,2.6362045431955865,-2.496124709659033,5.402636961818874,-0.06464647342410437,2.790408774112263,1.721704964542758,658.1613573389167,15.535169427003234,13.178519762446586,13.178519762446586,10.483112013795045,8.50334458083506,8.50334458083506,7.7980613966887375,7.7980613966887375,7.10047436372019,7.10047436372019,5.821907213476907,5.821907213476907,-1.46,148000.49097014032,14.152613321456492,4.521896298442718,1.664422092346401,132.1107921567131,10.213054789681411,11.350562644267594,0,0,0,0,0,0,0,6.423349895620259,18.910538587007878,79.53828499635745,5.414990469396779,0,10.213054789681411,0,0,0,17.250802561719567,56.967623794391756,0,29.32600418877882,0,18.093296047759807,0,0,5.749511833283905,0,15.8141056006651,6.4208216229260096,29.594586776195463,56.07265434387605,18.19910120538483,0,0,0,40.46,5.601050810983688,10.213054789681411,0,5.414990469396779,23.503229971768086,38.524929737556064,11.126902983393991,0,12.13273413692322,18.910538587007878,6.423349895620259,0,0,0,20.628043391943557,1.6918295304232813,4.817586370885208,5.874709624590577,11.772468690287052,2.2153623918703285,0,0.6,22,2,2,3,0,3,0,1,0,1,5,0,2,2,2,0,0,2,0,2,0,0,2.9089386268902366,4,3.6126000000000023,86.50660000000005,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ETHOSUXIMIDE,11.005555555555556,11.005555555555556,0.12499999999999978,-0.4334490740740742,0.5387218646888616,32.6,141.17,130.082,141.078978592,56,0,0.23249476213906983,-0.2959410688794002,0.2959410688794002,0.23249476213906983,1.6,2.2,2.4,16.174237377385296,9.860395411970476,2.4004607912582623,-2.144420669532036,2.2918245989836055,-2.276689615265853,6.050405503290491,-0.1276959903989348,2.0903079050169886,2.8000015092487516,188.04512825117834,7.776020881938894,6.230710143300821,6.230710143300821,4.582334106738749,3.426015243430232,3.426015243430232,2.9682907381116728,2.9682907381116728,2.132179015606181,2.132179015606181,1.0419123688073615,1.0419123688073615,-0.8600000000000001,173.49555611641006,7.249409190371992,2.075496519949025,0.9162485890783432,59.795978944375534,0,0,0,11.814359458703011,0,0,14.905862972149976,0,0,0,13.847474399381248,6.4208216229260096,6.4208216229260096,5.414990469396779,9.589074368143644,11.814359458703011,0,5.316788604006331,5.414990469396779,26.689117645233267,0,0,0,0,5.316788604006331,0,0,0,11.814359458703011,9.589074368143644,5.414990469396779,26.689117645233267,0,0,0,0,46.17,5.414990469396779,9.589074368143644,0,11.814359458703011,6.4208216229260096,6.4208216229260096,0,0,13.847474399381248,5.316788604006331,0,0,0,21.701597222222222,2.2804166666666665,-0.4334490740740742,-0.26912037037036973,0,1.0762962962962965,3.7275925925925923,0,0.7142857142857143,10,1,3,0,1,1,2,0,0,0,1,0,2,1,3,1,1,0,1,1,0,1,1.5046123546303547,1,0.4491999999999999,36.164699999999996,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVERMECTIN,14.366099028717194,14.366099028717194,0.007077781983083842,-1.8215340798094055,0.20352458572125837,47.20967741935484,875.1060000000001,800.514,874.507857048,350,0,0.31599777375162835,-0.4615170697966652,0.4615170697966652,0.31599777375162835,0.9193548387096774,1.6290322580645162,2.3548387096774195,16.734824080729943,9.705800362778135,2.600287768291851,-2.5065403787573612,2.4795050724347263,-2.581617922104321,5.7832624820346865,-0.3403460562819206,3.58328455319233,1.1769497801111772,1675.4327452466102,44.67226867064888,38.475389203642685,38.475389203642685,29.49742567265985,23.16615509000729,23.16615509000729,19.35233439895771,19.35233439895771,14.930547104758418,14.930547104758418,10.957247763335596,10.957247763335596,-2.0500000000000003,30670300098703.2,47.899083810937256,19.816415198594797,9.734727407957774,367.77197585272893,62.6882117225226,42.03878879588659,18.367164611241023,0,0,5.9693052879518484,4.794537184071822,0,0,0,64.49587095585791,69.0917177271451,52.2416092433465,49.334646678751035,67.48274890659442,5.9693052879518484,0,0,23.671624184645573,203.97228265613745,20.826477047067986,47.099414124377205,0,0,0,0,0,0,139.3311765947463,52.16316672207231,23.671624184645573,106.75647058093307,47.099414124377205,0,0,0,170.06,90.79112424607266,20.11411936859394,0,30.836687173919223,61.50695089001738,18.414747775921285,0,40.219109695604075,19.075777413358388,40.694706105287,47.36862953800049,63.92069968323819,0,14.366099028717194,34.24910120352273,0.1879923812443578,-2.0978273354747583,0,6.53321057590761,16.280733115168715,3.2266580143426298,0.8125,62,3,14,1,6,7,0,0,0,0,20,2,14,3,14,6,8,0,5,5,1,20,15.309486006932628,7,5.601400000000006,227.39939999999916,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHOHEXITAL,12.391342120181406,12.391342120181406,0.14766628873771714,-1.368472222222222,0.47348972477403223,24.36842105263158,262.30899999999997,244.16499999999996,262.131742436,102,0,0.3300197179767206,-0.2765993123104263,0.3300197179767206,0.2765993123104263,1.4736842105263157,2.1052631578947367,2.6315789473684212,16.203566466657367,9.705789710688537,2.546472736343563,-2.3891684740607313,2.362525096946543,-2.6411685662057804,6.1900071371144785,-0.15227051287926535,2.381535647517022,3.29817508926682,486.6548825076385,14.629392033067417,11.447979348830442,11.447979348830442,8.911955240757193,6.142210308375784,6.142210308375784,4.483953708344957,4.483953708344957,3.3174083935435834,3.3174083935435834,2.1257798726823465,2.1257798726823465,-2.09,12293.487012482869,14.969136605558838,5.700041419282036,2.3872265141023297,112.58155187507397,0,5.414990469396779,0,11.814359458703011,0,6.031114512338072,19.80577270300045,4.794537184071822,0,12.499370002454143,18.92019162538015,13.344558822616634,19.38639965176459,0,14.383611552215466,17.845473971041084,0,10.216698334856808,11.332896515558172,26.689117645233267,7.04767198267719,12.654955790432378,0,11.840868637711289,5.316788604006331,4.794537184071822,0,0,29.79305568456875,9.589074368143644,23.17376515326946,26.689117645233267,12.654955790432378,0,0,0,66.48,29.178370486599253,14.383611552215466,0,6.4208216229260096,6.4208216229260096,4.899909730850477,13.12369208951107,6.923737199690624,6.923737199690624,23.736592925316117,0,0,0,36.95401116465104,2.2041928854875286,-1.368472222222222,4.162664162887378,-0.703390783782649,2.2908513636936254,7.19435521122029,1.349121551398337,0.5,19,1,5,0,1,1,4,0,0,0,2,0,3,1,5,1,3,0,1,1,0,2,4.490773613819805,1,1.3066,70.78670000000002,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NORETHINDRONE,11.703982275991205,11.703982275991205,0.10255901203073803,-0.9015041047283114,0.6950885218084817,50.40909090909091,298.42600000000004,272.21799999999996,298.193280072,118,0,0.15517640199485044,-0.3770338699090017,0.3770338699090017,0.15517640199485044,1.1818181818181819,2,2.772727272727273,16.28594524194152,9.504565126919202,2.613630229980258,-2.5430195719377107,2.641221989562957,-2.5168091025743697,5.909133484026483,-0.11613076711050978,2.790408774112263,1.6520192857313454,583.0048893946201,15.535169427003234,13.47641775059396,13.47641775059396,10.483112013795045,8.918313340184524,8.918313340184524,8.303039842827467,8.303039842827467,7.690445031945482,7.690445031945482,6.433901017349552,6.433901017349552,-1.07,148000.49097014032,14.517720418011233,4.7123736531989255,1.7524204432637707,132.91520479916298,5.106527394840706,5.601050810983688,5.783244946364939,0,0,0,4.794537184071822,0,0,6.423349895620259,18.417276048615534,74.69339565196152,11.835812092322788,0,9.901064578912528,5.783244946364939,0,0,29.08661465404235,63.89136099408239,0,11.649124636903148,0,12.343784214475903,0,0,0,0,16.490823152189332,4.794537184071822,41.430398868518246,58.29031018309871,11.649124636903148,0,0,0,37.3,5.601050810983688,9.901064578912528,0,5.414990469396779,29.45486913101051,44.94575136048208,11.993926152995275,0,6.076020106833881,12.844171518546268,6.423349895620259,0,0,11.703982275991205,10.91973243502329,0.41844761747291526,5.65632548265327,0,15.73554062276375,2.2326382327622407,0,0.75,22,1,2,4,0,4,0,0,0,0,6,0,2,1,2,0,0,3,0,3,0,0,3.1096783273792834,4,3.4925000000000024,85.87580000000005,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PHENOBARBITAL,11.97579081632653,11.97579081632653,0.29361111111111104,-1.310347222222222,0.7368838068366227,18.529411764705884,232.23899999999995,220.14299999999997,232.084792244,88,0,0.32765101857785744,-0.27652301806617985,0.32765101857785744,0.27652301806617985,1,1.5294117647058822,2,16.197587805722346,9.751795321726716,2.496212647460485,-2.327843480181021,2.2974678713209307,-2.6398485542360053,6.223891946421076,-0.1382313111044508,2.3025942842976477,2.535973053206109,461.783925345171,12.466255326250886,9.318602998526266,9.318602998526266,8.108226125916318,5.333716209998576,5.333716209998576,3.8622813159634184,3.8622813159634184,3.0262809871232013,3.0262809871232013,2.0640792113105055,2.0640792113105055,-2.17,7460.405481124379,11.319407152511545,4.008920169778624,1.5954555917347284,98.19951531969478,0,0,5.414990469396779,11.814359458703011,0,6.031114512338072,20.222651576156306,4.794537184071822,0,0,37.255572541998674,11.984273114623004,0,0,14.383611552215466,17.845473971041084,0,10.633577208012662,0,18.75954929201341,0,35.89528683400505,0,0,10.633577208012662,4.794537184071822,0,0,17.845473971041084,15.004064837540422,0,18.90801031431363,30.33183534230805,0,0,0,75.27000000000001,23.26046444043786,14.383611552215466,0,0,11.984273114623004,0,0,37.255572541998674,0,10.633577208012662,0,0,0,35.0066084026203,4.280408163265307,-0.7223842592592591,-1.1389814814814807,7.95935295414462,0.29361111111111104,1.7380517762660619,0,0.25,17,2,5,0,1,1,4,1,0,1,0,0,3,2,5,1,2,0,1,1,0,0,2.66932939080235,2,0.7004,60.092400000000026,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
