Drug,MolWt,ExactMolWt,HeavyAtomMolWt,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,MolLogP,MolMR,RingCount,NumAromaticRings,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumSaturatedRings,NumSaturatedCarbocycles,NumSaturatedHeterocycles,HeavyAtomCount,NumHeteroatoms,NumHeterocycles,FractionCSP3,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,qed,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,NumAmideBonds,Phi,SPS,NHOHCount,NOCount
AMPHETAMINE,135.20999999999998,135.104799416,122.10599999999997,26.02,1,1,2,1.5763,43.79540000000002,1,1,0,1,0,0,0,0,0,0,10,1,0,0.3333333333333333,-0.8200000000000001,7.288932461873639,3.3737941826863076,2.1939048454146013,61.866120159699506,0.6542162175383444,7.397341225498538,6.248558665513929,6.248558665513929,4.787693700234704,3.583168886103056,3.583168886103056,2.6670065890781336,2.6670065890781336,1.4005021979026944,1.4005021979026944,0.9858783585471155,0.9858783585471155,1,1,0,2.459135793786267,13,2,1
ACETAMINOPHEN,151.165,151.063328528,142.093,49.33,2,2,1,1.3505999999999998,42.41050000000002,1,1,0,1,0,0,0,0,0,0,11,3,0,0.125,-1.5099999999999998,7.595374077976819,3.0531381005525,2.292303972882069,64.66690538413799,0.5950261967780848,8.267584713501616,6.164862962722325,6.164862962722325,5.1815405503520555,3.2490981480278296,3.2490981480278296,2.228060242189872,2.228060242189872,1.1876733148984595,1.1876733148984595,0.7480265991539318,0.7480265991539318,0,0,1,2.1081569077654403,9.181818181818182,2,3
ASPIRIN,180.15899999999996,180.042258736,172.09499999999997,63.60000000000001,1,3,2,1.3101,44.71030000000002,1,1,0,1,0,0,0,0,0,0,13,4,0,0.1111111111111111,-1.8399999999999999,9.249605734767023,3.7092512583454584,2.297415032519928,74.75705264447721,0.5501217966938848,9.844934982691242,6.9813595436500515,6.9813595436500515,6.109060905280622,3.6174536478673316,3.6174536478673316,2.3949556783206725,2.3949556783206725,1.3711546649445037,1.3711546649445037,0.8871712192374142,0.8871712192374142,0,0,0,2.639162439298765,9.307692307692308,1,4
ENALAPRIL,376.45300000000026,376.19982199599997,348.2290000000001,95.94000000000001,2,5,9,1.6046,100.15250000000007,2,1,1,1,0,0,1,1,0,1,27,7,1,0.55,-2.41,20.89651383122284,10.061420006935409,5.787080019605405,159.23680270316586,0.6358354158694681,19.81119030894213,15.888863193491664,15.888863193491664,12.934759407976113,9.435378264180693,9.435378264180693,6.745158299357761,6.745158299357761,4.7781754477150775,4.7781754477150775,3.376785148056581,3.376785148056581,3,0,1,7.786985271728444,18.74074074074074,2,7
ETHINYL ESTRADIOL,296.4100000000001,296.177630008,272.21799999999996,40.46,2,2,0,3.6126000000000023,86.50660000000005,4,1,3,1,0,3,0,2,2,0,22,2,0,0.6,-1.46,14.152613321456492,4.521896298442718,1.664422092346401,132.1107921567131,0.7180018360911579,15.535169427003234,13.178519762446586,13.178519762446586,10.483112013795045,8.50334458083506,8.50334458083506,7.7980613966887375,7.7980613966887375,7.10047436372019,7.10047436372019,5.821907213476907,5.821907213476907,5,0,0,2.9089386268902366,42.86363636363637,2,2
ETHOSUXIMIDE,141.17,141.078978592,130.082,46.17,1,2,1,0.4491999999999999,36.164699999999996,1,0,1,0,0,0,1,1,0,1,10,3,1,0.7142857142857143,-0.8600000000000001,7.249409190371992,2.075496519949025,0.9162485890783432,59.795978944375534,0.5387218646888616,7.776020881938894,6.230710143300821,6.230710143300821,4.582334106738749,3.426015243430232,3.426015243430232,2.9682907381116728,2.9682907381116728,2.132179015606181,2.132179015606181,1.0419123688073615,1.0419123688073615,1,1,2,1.5046123546303547,32.6,1,3
IVERMECTIN,875.1060000000001,874.507857048,800.514,170.06,3,14,8,5.601400000000006,227.39939999999916,7,0,7,0,0,1,6,5,0,5,62,14,6,0.8125,-2.0500000000000003,47.899083810937256,19.816415198594797,9.734727407957774,367.77197585272893,0.20352458572125837,44.67226867064888,38.475389203642685,38.475389203642685,29.49742567265985,23.16615509000729,23.16615509000729,19.35233439895771,19.35233439895771,14.930547104758418,14.930547104758418,10.957247763335596,10.957247763335596,20,20,0,15.309486006932628,47.20967741935484,3,14
METHOHEXITAL,262.30899999999997,262.131742436,244.16499999999996,66.48,1,3,3,1.3066,70.78670000000002,1,0,1,0,0,0,1,1,0,1,19,5,1,0.5,-2.09,14.969136605558838,5.700041419282036,2.3872265141023297,112.58155187507397,0.47348972477403223,14.629392033067417,11.447979348830442,11.447979348830442,8.911955240757193,6.142210308375784,6.142210308375784,4.483953708344957,4.483953708344957,3.3174083935435834,3.3174083935435834,2.1257798726823465,2.1257798726823465,2,2,4,4.490773613819805,24.36842105263158,1,5
NORETHINDRONE,298.42600000000004,298.193280072,272.21799999999996,37.3,1,2,0,3.4925000000000024,85.87580000000005,4,0,4,0,0,4,0,3,3,0,22,2,0,0.75,-1.07,14.517720418011233,4.7123736531989255,1.7524204432637707,132.91520479916298,0.6950885218084817,15.535169427003234,13.47641775059396,13.47641775059396,10.483112013795045,8.918313340184524,8.918313340184524,8.303039842827467,8.303039842827467,7.690445031945482,7.690445031945482,6.433901017349552,6.433901017349552,6,0,0,3.1096783273792834,50.40909090909091,1,2
PHENOBARBITAL,232.23899999999995,232.084792244,220.14299999999997,75.27000000000001,2,3,2,0.7004,60.092400000000026,2,1,1,1,0,0,1,1,0,1,17,5,1,0.25,-2.17,11.319407152511545,4.008920169778624,1.5954555917347284,98.19951531969478,0.7368838068366227,12.466255326250886,9.318602998526266,9.318602998526266,8.108226125916318,5.333716209998576,5.333716209998576,3.8622813159634184,3.8622813159634184,3.0262809871232013,3.0262809871232013,2.0640792113105055,2.0640792113105055,0,0,4,2.66932939080235,18.529411764705884,2,5
