Drug,SMILES,pKa_values,pKa_pkasolver,unipka_acidic_macro_pKa,unipka_basic_macro_pKa,unipka_error,pKa_acid_v2,pKa_base_v2
Amphetamine,CC(N)Cc1ccccc1,,9.718,,9.752597226,,,9.717854729
Acetaminophen,CC(=O)Nc1ccc(O)cc1,"9.63, 0, 9.5","5.891, 9.547, 10.991",9.50707866,,,9.546872826,
Aspirin,CC(=O)Oc1ccccc1C(=O)O,"3.5, 3.5, 3.5, 3.5, 3.5, 3.47",3.646,3.788719355,,,3.64557333,
Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,"5.49, 3, 2.92, 2.92","5.152, 7.108, 7.456",6.251129182,,,5.152421379,7.107623005
Ethinyl estradiol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,"9.867, 10.367",10.61608137,3.053782622,,9.867010193,
Ethosuximide,CCC1(C)CC(=O)NC1=O,,"6.444, 9.415",9.21523023,,,6.444199009,
Ivermectin,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,,"8.55, 8.702",9.517235808,3.619248974,,8.550292969,
Methohexital,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74,7.333,7.840355704,,,7.332729492,
Norethindrone,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,,8.425,,3.143837257,,8.424506531,
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,"7.5, 7.5, 7.26, 7.49, 7.4, 7.5, 7.2","7.575, 7.996",7.010171163,,,7.574669151,
Theophylline,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,"8.8, 0, 4.6, 8.8","4.044, 5.608, 8.83",8.300367378,,,4.043516083,8.830215187
Thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,"0.8, 7.6","7.691, 8.148",7.424429906,,,7.690595646,
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,,3.467,,,,,3.467329798
Valproic Acid,CCCC(CCC)C(=O)O,4.8,4.837,4.636091143,,,4.836618786,
Zonisamide,NS(=O)(=O)Cc1noc2ccccc12,,"2.56, 6.098, 8.089",8.618392238,,,6.09810236,
Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,"6.2, 2.4, 2.4","3.366, 4.153",,4.546257511,,,4.153007088
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,"9.4, 9.42, 9.4, 9.4, 9.4, 9.49, 9.4, 8.2, 9.4, 9.5, 9.4",9.494,,9.250424558,,,9.493635368
Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,"9.5, 9.03, 8.6, 8.6, 9.26, 9.45","5.231, 6.789",10.31636038,8.419103943,,,6.789095345
Bupivacaine,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,"8.16, 8.1","5.629, 8.016, 10.075",,7.289709385,,10.07468624,8.016181927
